id,question,reference,answer,label,memo
1,"조선을 건국한 왕은 누구이며, 몇 년에 건국했나요?",태조 이성계가 1392년에 조선을 건국했습니다.,조선은 이성이 1392 년에 건국했습니다.,,
2,임진왜란은 몇 년에 일어났나요?,임진왜란은 1592년에 일어났습니다.,임진왜란은 1592 년 (조선 정조 1 년) 에 시작되었습니다.,,
3,3·1 운동은 몇 년에 일어났나요?,3·1 운동은 1919년에 일어났습니다.,3·1 운동은 1919 년에 일어났습니다.,,
4,대한민국 정부가 수립된 날짜는 언제인가요?,대한민국 정부는 1948년 8월 15일에 수립되었습니다.,대한민국 정부 수립일은 대한민국의 수도였던 서울에서 임시정부와 광복체제 통합을 통해 1948년 8월 15일로 인정받고 있습니다. (해당 축제는 독립 기념일로 8 월 15 일로 지정되어 있습니다.),,
5,"대한민국(남한)에서 가장 높은 산은 무엇이고, 높이는 대략 얼마인가요?","남한에서 가장 높은 산은 한라산이며, 높이는 약 1,947m입니다.","대한민국에서 가장 높은 산은 백운대나 설산이 아닌 정상높이가 약 2,749 미터인 **백두산**이 아니라, 한반도에 있는 최고봉인 **한라산**입니다. 한라산의 높이는 해발 **1,950 미터**입니다.",,
6,남한에서 가장 긴 강은 무엇인가요?,남한에서 가장 긴 강은 낙동강(약 510km)입니다.,"남한의 가장 긴 강은 북한과 합류하여 황해를 흐르는 압록강입니다. 엄밀히 따지면 남한 영내에만 완전히 위치한 것은 낙동강이며, 그 길이는 약 514km입니다.",,
7,훈민정음은 몇 년에 반포되었나요?,훈민정음은 1446년에 반포되었습니다(창제는 1443년).,훈민정음은 1446년에 반포되었습니다.,,
8,이순신 장군이 한산도 대첩에서 승리한 해는 언제인가요?,한산도 대첩은 1592년에 있었습니다.,이순신 장군은 1592 년에 한산도에서 일본 함대를 격멸하여 대첩을 거두었습니다.,,
9,대한민국 국회의원의 임기는 몇 년인가요?,국회의원의 임기는 4년입니다.,대한민국 국회의원의 임기는 4 년입니다.,,
10,현재 대한민국 대통령 선거에서 투표할 수 있는 나이(선거권 연령)는 몇 세인가요?,선거권 연령은 만 18세입니다(2020년부터 적용).,대한민국 현행 헌법과 선거법에 따라 전국민 공표된 대선 투표 자격 연령은 19세입니다.,,
11,석굴암과 불국사는 몇 년에 유네스코 세계유산에 등재되었나요?,석굴암과 불국사는 1995년에 유네스코 세계유산에 등재되었습니다.,석굴암과 불국사는 1995 년에 유네스코 세계유산으로 등재되었습니다.,,
